anxiety_level,self_esteem,mental_health_history,depression,headache,blood_pressure,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,target,mental_health_score,physical_score,environment_score,social_score
13,19,0,9,2,1,2,4,2,3,2,3,2,3,3,2,2,2,3,3,1,10.25,2.25,2.5,2.5
19,2,1,27,5,3,1,3,4,2,1,1,1,5,2,4,1,5,4,4,2,12.25,3.0,2.0,3.5
19,15,1,27,5,3,1,4,5,2,2,2,2,5,1,4,1,4,5,5,2,15.5,3.25,2.75,3.75
4,30,0,7,1,2,4,1,2,4,5,4,4,2,4,1,3,1,2,1,0,10.25,2.0,3.75,1.75
2,30,0,27,1,3,5,2,1,5,3,3,4,0,4,2,1,2,5,3,0,14.75,2.75,3.0,2.75
3,26,0,1,1,2,5,2,2,3,4,5,4,1,5,1,3,2,1,1,0,7.5,2.5,3.5,1.75
19,2,1,23,3,3,1,3,4,2,2,2,2,3,1,4,1,4,5,4,2,11.25,2.5,2.5,3.5
19,13,1,26,3,3,1,5,3,2,2,2,2,3,2,5,1,5,5,5,2,14.75,3.0,2.25,4.0
13,6,0,8,1,3,1,3,4,2,0,3,4,3,4,4,0,2,4,3,0,6.75,2.0,2.25,2.25
3,28,0,0,1,2,4,1,2,4,5,5,5,1,4,1,3,1,1,1,0,7.75,2.0,4.0,1.5
14,11,1,20,5,3,2,3,4,0,3,0,5,1,3,5,0,2,2,1,1,11.5,3.25,1.75,1.25
0,25,0,5,1,2,5,1,1,3,5,5,4,1,5,1,3,2,2,1,0,7.5,2.25,3.5,2.0
21,8,1,21,5,3,1,5,5,2,1,2,2,5,2,5,1,5,5,4,2,12.75,3.5,2.5,3.75
11,21,0,12,2,1,3,4,2,2,3,2,2,3,3,2,3,2,2,3,1,11.0,2.5,2.25,2.5
15,6,1,20,3,3,1,3,4,2,2,2,2,3,2,4,1,4,5,5,2,10.5,2.5,2.5,3.75
13,2,0,5,1,3,2,4,0,1,1,5,1,2,4,4,0,0,5,0,1,5.0,2.5,1.75,1.25
8,25,0,5,1,2,5,2,1,3,5,4,5,1,4,1,3,2,2,1,0,9.5,2.5,3.25,2.0
17,24,1,12,3,3,1,0,3,4,3,0,5,5,3,2,0,3,1,1,2,13.5,1.75,2.5,1.25
0,28,0,6,1,2,5,1,1,3,4,5,4,2,4,1,3,2,1,1,0,8.5,2.25,3.25,1.75
13,18,0,13,3,1,2,2,3,2,3,2,3,3,2,3,2,2,3,2,1,11.0,2.0,2.5,2.25
5,25,0,3,1,2,4,2,2,3,4,5,5,2,5,1,3,1,2,1,0,8.25,2.25,3.5,1.75
3,27,0,8,1,2,5,2,2,3,5,4,4,1,4,1,3,1,2,1,0,9.5,2.5,3.5,1.75
21,2,1,21,5,3,1,5,5,2,1,1,2,4,2,5,1,5,5,5,2,11.25,3.5,2.25,4.0
19,14,0,23,5,3,5,1,3,5,1,4,1,5,2,2,0,2,5,2,2,14.0,3.5,3.25,2.25
20,0,1,18,4,3,1,4,4,2,2,2,2,4,1,4,1,5,5,5,2,9.75,3.0,2.5,4.0
1,27,0,6,1,2,5,2,2,3,4,4,5,1,4,1,3,1,1,1,0,8.5,2.5,3.25,1.5
17,10,1,16,5,3,1,3,4,2,2,1,1,4,1,5,1,4,5,5,2,11.0,3.0,2.25,3.75
19,12,0,13,0,3,2,3,0,3,2,3,5,5,4,4,1,0,5,0,0,11.0,2.0,2.0,1.5
13,20,1,13,2,1,3,4,2,2,2,2,3,2,2,3,3,3,3,3,1,11.75,2.5,2.0,3.0
17,3,1,22,4,3,1,5,3,1,1,1,1,3,2,4,1,4,4,5,2,10.75,3.25,1.5,3.5
4,9,1,4,2,3,5,3,1,3,0,0,4,4,2,5,1,0,4,5,0,4.5,3.25,1.0,2.5
9,17,0,10,2,1,2,4,3,2,2,2,2,3,3,2,2,2,3,2,1,9.0,2.25,2.25,2.25
18,0,1,18,5,3,1,3,3,1,2,2,1,4,1,5,1,4,4,5,2,9.25,3.0,2.0,3.5
2,25,0,7,1,2,4,1,1,4,5,4,5,1,5,1,3,2,1,1,0,8.5,2.0,3.5,1.75
6,25,0,8,1,2,5,1,1,4,5,4,4,2,5,1,3,2,2,1,0,9.75,2.25,3.5,2.0
1,25,0,7,1,2,5,1,2,4,4,5,5,2,5,1,3,1,2,1,0,8.25,2.25,3.75,1.75
10,24,1,14,3,1,2,2,3,3,3,2,2,2,2,2,2,2,2,3,1,12.25,2.0,2.75,2.25
6,20,0,16,5,3,1,2,5,5,0,0,4,0,0,0,1,4,2,2,2,10.5,2.75,2.5,2.25
8,30,0,2,1,2,4,1,1,4,4,5,4,2,4,1,3,1,2,1,0,10.0,2.0,3.5,1.75
1,7,0,21,0,3,0,3,4,2,4,3,0,4,4,0,0,2,0,4,2,7.25,1.5,3.25,1.5
18,1,1,21,4,3,1,3,5,1,1,2,2,5,1,4,1,4,4,5,2,10.25,2.75,2.25,3.5
14,23,1,10,2,1,2,4,3,3,2,3,3,3,3,3,2,3,2,3,1,12.0,2.25,2.75,2.5
9,25,0,11,2,1,2,2,2,2,2,3,2,2,2,2,2,2,3,3,1,11.25,1.75,2.25,2.5
20,15,1,22,5,3,1,3,3,2,1,2,1,3,2,4,1,4,5,4,2,14.5,3.0,2.0,3.5
11,24,1,12,2,1,3,4,2,3,2,2,2,2,2,2,3,3,3,2,1,12.0,2.5,2.25,2.75
9,22,1,10,2,1,3,2,3,3,2,3,2,2,2,3,3,2,3,3,1,10.5,2.0,2.75,2.75
13,1,1,21,2,3,0,2,4,3,2,1,4,4,2,2,1,3,0,2,2,9.0,1.75,2.5,1.5
15,1,1,24,4,3,1,5,3,1,2,2,2,5,2,5,1,5,4,5,2,10.25,3.25,2.0,3.75
14,22,0,10,3,3,1,5,3,5,2,2,2,0,3,3,0,4,4,2,1,11.5,3.0,3.0,2.5
17,6,1,25,3,3,1,3,5,1,2,1,2,4,2,5,1,5,4,4,2,12.25,2.5,2.25,3.5
11,15,0,10,2,1,3,2,3,3,3,2,2,2,3,2,2,2,2,3,1,9.0,2.0,2.75,2.25
4,28,0,0,1,2,4,2,1,4,4,4,5,1,4,1,3,2,2,1,0,8.0,2.25,3.25,2.0
17,12,1,18,4,3,1,5,4,2,1,2,1,4,1,5,1,5,4,4,2,12.0,3.25,2.25,3.5
21,0,1,23,3,3,1,3,3,2,2,1,1,4,1,4,1,5,5,4,2,11.25,2.5,2.0,3.75
11,15,0,12,2,1,3,4,3,2,2,3,3,2,3,3,2,3,2,2,1,9.5,2.5,2.5,2.25
10,21,1,10,2,1,2,4,2,3,3,3,2,3,2,2,2,2,2,3,1,10.5,2.25,2.75,2.25
20,3,0,22,0,3,4,4,1,1,5,1,4,2,4,2,0,1,3,0,1,11.25,2.75,2.0,1.0
16,4,1,15,5,3,1,3,3,1,2,2,2,5,1,5,1,4,4,4,2,9.0,3.0,2.0,3.25
9,25,0,9,2,1,3,2,2,2,3,3,3,2,2,2,2,2,3,2,1,10.75,2.0,2.5,2.25
2,30,0,0,1,2,5,1,1,3,5,5,4,2,4,1,3,2,2,1,0,8.0,2.25,3.5,2.0
10,21,1,13,3,1,2,2,3,3,2,2,2,2,3,2,2,2,3,2,1,11.25,2.0,2.5,2.25
18,13,1,18,5,3,1,4,5,2,1,1,1,3,2,4,1,4,5,4,2,12.5,3.25,2.25,3.5
18,11,1,26,3,3,1,5,4,2,2,1,2,5,2,5,1,4,4,5,2,14.0,3.0,2.25,3.5
12,7,1,17,0,3,0,3,2,3,3,3,3,4,4,1,0,3,1,0,1,9.25,1.5,2.75,1.0
17,5,1,26,5,3,1,3,5,1,2,1,1,5,1,5,1,5,5,4,2,12.25,3.0,2.25,3.75
20,8,1,17,3,3,1,4,4,2,2,1,1,4,1,5,1,4,5,5,2,11.5,2.75,2.25,3.75
21,8,1,17,4,3,1,5,5,1,2,1,2,5,1,5,1,4,5,4,2,11.75,3.25,2.25,3.5
12,21,1,11,2,1,3,4,3,2,2,2,2,2,2,3,2,3,3,3,1,11.25,2.5,2.25,2.75
0,28,0,4,1,2,5,1,2,4,5,5,5,1,5,1,3,1,2,1,0,8.0,2.25,4.0,1.75
21,2,1,22,5,3,1,3,5,1,1,1,2,3,1,5,1,4,4,4,2,11.5,3.0,2.0,3.25
16,5,1,24,5,3,1,3,4,2,2,1,1,5,1,5,1,4,4,5,2,11.5,3.0,2.25,3.5
17,2,1,24,4,3,1,5,5,2,2,2,1,3,2,5,1,4,4,4,2,11.0,3.25,2.75,3.25
2,25,0,2,1,2,4,2,2,3,5,5,5,2,5,1,3,2,1,1,0,7.25,2.25,3.75,1.75
7,27,0,8,1,2,5,2,2,4,4,5,5,2,5,1,3,1,1,1,0,10.5,2.5,3.75,1.5
10,20,0,13,3,1,2,2,3,3,3,3,3,3,2,3,3,2,3,2,1,10.75,2.0,3.0,2.5
3,5,0,0,5,3,2,2,0,2,1,0,2,4,2,1,1,2,3,4,2,2.0,3.0,0.75,2.5
7,25,0,0,1,2,5,2,1,4,5,5,4,2,5,1,3,1,1,1,0,8.0,2.5,3.75,1.5
20,9,1,20,2,3,0,5,2,1,3,4,0,4,1,4,0,1,4,3,1,12.5,2.5,2.5,2.0
19,11,1,27,3,3,1,4,4,2,1,2,2,3,1,5,1,4,5,5,2,14.5,2.75,2.25,3.75
16,7,0,6,2,3,0,3,0,4,0,4,4,4,3,0,0,0,3,2,1,7.25,2.0,2.0,1.25
13,25,1,11,2,1,2,2,3,2,3,3,2,3,3,3,3,3,3,3,1,12.5,1.75,2.75,3.0
7,25,1,17,3,3,3,4,0,3,2,5,0,0,0,4,1,4,3,4,0,12.5,3.25,2.5,3.0
16,11,1,21,5,3,1,5,5,1,1,2,2,3,2,5,1,4,5,4,2,12.25,3.5,2.25,3.5
6,18,1,9,3,3,4,0,3,5,2,3,4,5,0,0,0,4,2,0,1,8.5,2.5,3.25,1.5
7,26,0,0,1,2,5,2,2,3,5,5,5,1,4,1,3,2,1,1,0,8.25,2.5,3.75,1.75
14,25,0,13,2,1,2,2,2,2,3,3,2,3,2,2,3,2,2,2,1,13.0,1.75,2.5,2.25
11,21,1,14,3,1,3,4,3,2,3,3,2,2,2,2,3,3,3,3,1,11.75,2.75,2.75,3.0
21,5,1,23,5,3,1,4,5,1,2,1,1,3,1,5,1,4,4,4,2,12.5,3.25,2.25,3.25
14,21,1,13,3,1,2,2,2,2,2,3,2,2,2,3,3,3,3,3,1,12.25,2.0,2.25,3.0
3,30,0,2,1,2,5,2,1,4,4,4,4,1,4,1,3,2,2,1,0,8.75,2.5,3.25,2.0
19,5,1,24,4,3,1,4,3,2,2,2,1,4,1,5,1,4,4,5,2,12.25,3.0,2.25,3.5
6,3,1,12,3,3,5,2,3,4,1,3,1,5,2,0,1,2,3,1,2,5.5,3.25,2.75,1.75
17,12,1,26,3,3,1,4,4,2,2,1,2,3,2,4,1,5,4,4,2,14.0,2.75,2.25,3.5
18,9,1,20,5,3,1,4,4,1,2,2,2,4,1,5,1,5,4,5,2,12.0,3.25,2.25,3.75
6,30,0,7,1,2,5,2,1,4,4,4,4,1,4,1,3,2,2,1,0,10.75,2.5,3.25,2.0
1,29,0,0,1,2,4,2,2,4,5,4,5,1,5,1,3,1,1,1,0,7.5,2.25,3.75,1.5
13,17,0,10,2,1,3,4,2,2,3,3,2,2,2,2,2,3,2,2,1,10.0,2.5,2.5,2.25
11,16,0,9,2,1,3,2,3,2,2,3,2,3,2,2,2,2,2,3,1,9.0,2.0,2.5,2.25
0,25,0,8,1,2,4,2,1,3,4,5,5,2,4,1,3,2,1,1,0,8.25,2.25,3.25,1.75
14,19,0,11,3,1,2,2,2,3,2,3,3,3,2,2,2,3,2,3,1,11.0,2.0,2.5,2.5
14,16,0,20,1,3,0,5,2,2,0,4,0,1,0,2,0,0,4,5,0,12.5,2.25,2.0,2.25
0,25,0,0,1,2,4,1,1,3,4,4,4,1,4,1,3,2,2,1,0,6.25,2.0,3.0,2.0
18,11,1,26,3,3,1,5,3,2,1,2,2,4,2,5,1,5,4,4,2,14.0,3.0,2.0,3.5
6,26,0,3,1,2,4,1,2,4,5,4,4,1,4,1,3,1,2,1,0,8.75,2.0,3.75,1.75
17,3,1,21,4,3,1,4,5,2,1,2,1,5,2,5,1,4,5,5,2,10.5,3.0,2.5,3.75
2,26,0,6,1,2,4,1,2,3,5,5,4,2,4,1,3,1,2,1,0,8.5,2.0,3.75,1.75
10,20,0,13,2,1,2,4,2,3,2,3,2,2,3,3,3,2,3,3,1,10.75,2.25,2.5,2.75
13,17,1,11,3,1,3,2,3,3,3,2,2,3,3,2,3,2,3,3,1,10.5,2.25,2.75,2.75
0,26,0,8,1,2,4,2,1,3,5,5,4,2,4,1,3,2,2,1,0,8.5,2.25,3.5,2.0
12,3,1,0,0,3,1,3,1,1,1,5,5,2,2,1,1,0,5,3,0,4.0,1.75,2.0,2.25
4,25,0,6,1,2,5,2,2,4,4,4,5,2,5,1,3,2,1,1,0,8.75,2.5,3.5,1.75
6,17,0,1,2,3,0,2,2,3,2,2,5,0,3,5,0,0,0,4,2,6.0,1.75,2.25,1.0
10,25,1,9,2,1,2,4,3,2,2,2,3,3,2,2,3,2,3,3,1,11.25,2.25,2.25,2.75
6,29,0,3,1,2,4,2,1,4,5,4,4,1,4,1,3,2,2,1,0,9.5,2.25,3.5,2.0
18,9,1,23,4,3,1,4,4,2,1,2,2,5,2,4,1,5,4,4,2,12.75,3.0,2.25,3.5
9,23,0,11,2,1,2,4,3,3,2,3,2,2,3,2,3,3,2,3,1,10.75,2.25,2.75,2.75
9,23,1,10,2,1,2,2,3,2,2,3,3,3,2,2,3,2,2,2,1,10.75,1.75,2.5,2.25
3,30,0,1,1,2,5,2,1,4,5,4,4,2,4,1,3,2,2,1,0,8.5,2.5,3.5,2.0
13,20,1,14,3,1,2,2,3,3,3,2,2,2,3,3,2,2,3,3,1,12.0,2.0,2.75,2.5
7,29,0,3,1,2,4,1,1,3,5,4,4,1,5,1,3,2,1,1,0,9.75,2.0,3.25,1.75
3,28,0,6,1,2,5,1,1,4,4,5,4,2,5,1,3,2,1,1,0,9.25,2.25,3.5,1.75
0,30,0,0,1,2,5,1,2,4,4,5,5,2,4,1,3,2,1,1,0,7.5,2.25,3.75,1.75
10,19,1,12,3,1,3,4,2,3,3,3,3,2,3,2,3,2,2,2,1,10.5,2.75,2.75,2.25
15,13,1,15,3,3,1,4,4,1,2,1,1,5,2,5,1,5,5,5,2,11.0,2.75,2.0,4.0
11,23,1,10,3,1,2,2,3,3,3,3,2,3,2,2,3,2,2,3,1,11.25,2.0,3.0,2.5
0,27,0,22,4,3,3,2,4,3,5,5,5,5,2,0,1,2,5,0,2,12.25,3.0,4.25,2.0
19,27,0,1,0,3,5,3,4,4,2,0,0,2,2,2,1,5,0,3,2,11.75,2.75,2.5,2.25
7,27,0,5,1,2,4,1,1,3,5,5,4,2,5,1,3,1,2,1,0,9.75,2.0,3.5,1.75
17,23,1,4,1,3,3,1,4,1,3,0,4,0,0,0,0,5,2,5,2,11.25,2.0,2.0,3.0
15,1,1,23,3,3,1,4,3,2,1,2,1,4,2,5,1,5,4,5,2,10.0,2.75,2.0,3.75
6,11,0,7,2,3,5,0,3,1,3,1,5,5,1,3,1,4,1,1,1,6.0,2.5,2.0,1.75
14,16,0,13,2,1,2,4,3,2,2,3,2,3,2,3,2,2,3,3,1,10.75,2.25,2.5,2.5
15,6,1,18,3,3,1,3,4,2,1,2,1,3,2,5,1,5,5,4,2,10.0,2.5,2.25,3.75
17,15,1,22,3,3,1,5,5,2,1,1,1,3,1,4,1,5,5,4,2,13.75,3.0,2.25,3.75
2,29,0,7,1,2,5,2,2,4,4,4,5,1,4,1,3,1,2,1,0,9.5,2.5,3.5,1.75
2,27,0,0,1,2,4,2,1,4,5,5,4,2,4,1,3,2,2,1,0,7.25,2.25,3.75,2.0
0,25,0,2,1,2,5,1,2,4,5,5,5,2,4,1,3,1,1,1,0,6.75,2.25,4.0,1.5
14,17,1,11,3,1,2,2,3,3,3,2,2,2,2,2,3,2,3,2,1,10.75,2.0,2.75,2.5
7,28,0,7,1,2,5,1,2,3,4,5,5,2,4,1,3,2,1,1,0,10.5,2.25,3.5,1.75
14,21,1,14,2,1,2,2,2,3,3,3,2,3,3,3,3,2,2,3,1,12.5,1.75,2.75,2.5
19,14,1,26,5,3,1,5,5,2,2,2,2,5,1,4,1,4,4,4,2,15.0,3.5,2.75,3.25
14,23,1,20,5,3,3,3,5,2,4,0,1,3,1,0,0,1,0,5,2,14.5,3.5,2.75,1.5
1,26,0,2,1,2,4,1,1,3,5,4,4,1,4,1,3,2,2,1,0,7.25,2.0,3.25,2.0
16,13,1,20,3,3,1,4,5,1,2,1,1,5,1,5,1,5,5,5,2,12.5,2.75,2.25,4.0
5,26,0,3,1,2,4,1,2,4,5,5,4,2,5,1,3,2,1,1,0,8.5,2.0,4.0,1.75
20,13,0,8,0,3,0,3,3,2,1,4,4,4,2,3,1,5,2,5,0,10.25,1.5,2.5,3.25
7,25,0,3,1,2,4,1,1,4,5,5,5,2,4,1,3,1,1,1,0,8.75,2.0,3.75,1.5
11,20,1,9,2,1,2,4,3,2,2,2,3,2,3,3,2,2,3,2,1,10.25,2.25,2.25,2.25
21,15,1,23,5,3,1,3,3,2,2,1,2,5,2,4,1,4,4,4,2,15.0,3.0,2.0,3.25
14,16,0,10,2,1,3,4,3,2,2,2,3,2,2,2,2,2,2,3,1,10.0,2.5,2.25,2.25
17,11,1,26,5,3,1,3,5,1,2,1,2,4,1,4,1,5,5,5,2,13.75,3.0,2.25,4.0
17,29,1,18,3,3,0,4,2,1,1,2,5,1,3,0,0,3,1,4,0,16.25,2.5,1.5,2.0
